doc_id,title,type,date,entity_text,entity_type,canonical_entity
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,American,NORP,American
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,AMERICAN,NORP,AMERICAN
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,the United States of America,GPE,the United States of America
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,the Immigration and Nationality Act,LAW,Immigration and Nationality Act
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,section 301,LAW,Section 301
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,United States Code,LAW,United States Code
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,the United States,GPE,the United States
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Federal,ORG,Federal
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Americans,NORP,Americans
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,State,ORG,State
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Federal Government,ORG,Federal Government
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Sec. 2. Policy.,LAW,Sec. 2. Policy.
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Sec. 3. Faithful Execution of the Immigration Laws,LAW,Sec. 3. Faithful Execution of the Immigration Laws
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Executive Order 13993,LAW,Executive Order 13993
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Executive Order,LAW,Executive Order
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,North and Central America,LOC,North and Central America
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,United States,GPE,United States
pa_001,PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,EXECUTIVE ORDER,2025-01-20,Executive Order 14012,LAW,Executive Order 14012
